image,class
/home/dmitr/dev/fungi/data/DF20M/2237852381-222754.JPG, 0
/home/dmitr/dev/fungi/data/DF20M/2237852388-108.JPG, 0
/home/dmitr/dev/fungi/data/DF20M/2237852964-74877.JPG, 1
/home/dmitr/dev/fungi/data/DF20M/2237853192-298146.JPG, 2
/home/dmitr/dev/fungi/data/DF20M/2237853950-148876.JPG, 2
/home/dmitr/dev/fungi/data/DF20M/2237854094-75097.JPG, 2
/home/dmitr/dev/fungi/data/DF20M/2237854251-223166.JPG, 1
/home/dmitr/dev/fungi/data/DF20M/2237854576-223245.JPG, 2
/home/dmitr/dev/fungi/data/DF20M/2237855975-149356.JPG, 1
/home/dmitr/dev/fungi/data/DF20M/2237857801-223944.JPG, 1
/home/dmitr/dev/fungi/data/DF20M/2237858626-224115.JPG, 1
/home/dmitr/dev/fungi/data/DF20M/2237861282-299876.JPG, 3
/home/dmitr/dev/fungi/data/DF20M/2237862652-300134.JPG, 3
/home/dmitr/dev/fungi/data/DF20M/2237870260-150860.JPG, 4
/home/dmitr/dev/fungi/data/DF20M/2237870269-77014.JPG, 5
/home/dmitr/dev/fungi/data/DF20M/2237883094-77031.JPG, 6
/home/dmitr/dev/fungi/data/DF20M/2237885623-2662.JPG, 7
/home/dmitr/dev/fungi/data/DF20M/2237885859-77044.JPG, 8
/home/dmitr/dev/fungi/data/DF20M/2237887676-225111.JPG, 9
/home/dmitr/dev/fungi/data/DF20M/2237892546-225139.JPG, 10
/home/dmitr/dev/fungi/data/DF20M/2237894455-150951.JPG, 11
/home/dmitr/dev/fungi/data/DF20M/2237895277-300324.JPG, 12
/home/dmitr/dev/fungi/data/DF20M/2237897646-225161.JPG, 13
/home/dmitr/dev/fungi/data/DF20M/2237899659-77092.JPG, 14
/home/dmitr/dev/fungi/data/DF20M/2237899730-150973.JPG, 15
/home/dmitr/dev/fungi/data/DF20M/2237901267-300359.JPG, 16
/home/dmitr/dev/fungi/data/DF20M/2237905425-150996.JPG, 17
/home/dmitr/dev/fungi/data/DF20M/2237905710-151001.JPG, 18
/home/dmitr/dev/fungi/data/DF20M/2237911200-151030.JPG, 19
/home/dmitr/dev/fungi/data/DF20M/2237911546-225226.JPG, 13
/home/dmitr/dev/fungi/data/DF20M/2237912500-151056.JPG, 20
/home/dmitr/dev/fungi/data/DF20M/2237913056-225274.JPG, 21
/home/dmitr/dev/fungi/data/DF20M/2237913270-151092.JPG, 22
/home/dmitr/dev/fungi/data/DF20M/2237913540-151112.JPG, 23
/home/dmitr/dev/fungi/data/DF20M/2237914414-77291.JPG, 24
/home/dmitr/dev/fungi/data/DF20M/2237914536-225349.JPG, 14
/home/dmitr/dev/fungi/data/DF20M/2237914690-151167.JPG, 25
/home/dmitr/dev/fungi/data/DF20M/2237915539-77350.JPG, 26
/home/dmitr/dev/fungi/data/DF20M/2237915704-77361.JPG, 27
/home/dmitr/dev/fungi/data/DF20M/2237915957-300611.JPG, 28
/home/dmitr/dev/fungi/data/DF20M/2237916055-151236.JPG, 29
/home/dmitr/dev/fungi/data/DF20M/2237916261-225437.JPG, 5
/home/dmitr/dev/fungi/data/DF20M/2237916499-77397.JPG, 30
/home/dmitr/dev/fungi/data/DF20M/2237916845-151275.JPG, 31
/home/dmitr/dev/fungi/data/DF20M/2237917386-225480.JPG, 32
/home/dmitr/dev/fungi/data/DF20M/2237917462-300666.JPG, 24
/home/dmitr/dev/fungi/data/DF20M/2237918198-3057.JPG, 33
/home/dmitr/dev/fungi/data/DF20M/2237920243-3146.JPG, 31
/home/dmitr/dev/fungi/data/DF20M/2237920948-3179.JPG, 34
/home/dmitr/dev/fungi/data/DF20M/2237921149-77582.JPG, 35
/home/dmitr/dev/fungi/data/DF20M/2237921520-151440.JPG, 2
/home/dmitr/dev/fungi/data/DF20M/2237921697-300841.JPG, 11
/home/dmitr/dev/fungi/data/DF20M/2237921763-3206.JPG, 36
/home/dmitr/dev/fungi/data/DF20M/2237921763-3208.JPG, 36
/home/dmitr/dev/fungi/data/DF20M/2237921851-225655.JPG, 37
/home/dmitr/dev/fungi/data/DF20M/2237922193-3230.JPG, 10
/home/dmitr/dev/fungi/data/DF20M/2237922332-300874.JPG, 38
/home/dmitr/dev/fungi/data/DF20M/2237922811-225697.JPG, 39
/home/dmitr/dev/fungi/data/DF20M/2237922957-300898.JPG, 40
/home/dmitr/dev/fungi/data/DF20M/2237923333-3268.JPG, 34
/home/dmitr/dev/fungi/data/DF20M/2237924616-225766.JPG, 41
/home/dmitr/dev/fungi/data/DF20M/2237924649-77705.JPG, 42
/home/dmitr/dev/fungi/data/DF20M/2237926243-3373.JPG, 8
/home/dmitr/dev/fungi/data/DF20M/2237926243-3374.JPG, 8
/home/dmitr/dev/fungi/data/DF20M/2237927340-151620.JPG, 43
/home/dmitr/dev/fungi/data/DF20M/2237928190-151642.JPG, 44
/home/dmitr/dev/fungi/data/DF20M/2237928227-301058.JPG, 34
/home/dmitr/dev/fungi/data/DF20M/2237928242-301059.JPG, 45
/home/dmitr/dev/fungi/data/DF20M/2237931470-151730.JPG, 46
/home/dmitr/dev/fungi/data/DF20M/2237931493-3563.JPG, 42
/home/dmitr/dev/fungi/data/DF20M/2237931603-3571.JPG, 47
/home/dmitr/dev/fungi/data/DF20M/2237932020-151751.JPG, 44
/home/dmitr/dev/fungi/data/DF20M/2237933141-225972.JPG, 48
/home/dmitr/dev/fungi/data/DF20M/2237934024-78001.JPG, 21
